captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.7374.first,candidates.7374.last,candidates.7374.incumbent,candidates.7374.party,candidates.7374.candidateID,candidates.7374.ballotOrder,candidates.7374.polID,candidates.7374.polNum,candidates.7374.electWon,candidates.7377.first,candidates.7377.last,candidates.7377.party,candidates.7377.candidateID,candidates.7377.ballotOrder,candidates.7377.polID,candidates.7377.polNum,candidates.7377.electWon,candidates.7378.first,candidates.7378.last,candidates.7378.party,candidates.7378.candidateID,candidates.7378.ballotOrder,candidates.7378.polID,candidates.7378.polNum,candidates.7378.electWon,candidates.7404.last,candidates.7404.abbrv,candidates.7404.party,candidates.7404.candidateID,candidates.7404.ballotOrder,candidates.7404.polID,candidates.7404.polNum,candidates.7404.electWon,candidates.7485.first,candidates.7485.last,candidates.7485.party,candidates.7485.candidateID,candidates.7485.ballotOrder,candidates.7485.polID,candidates.7485.polNum,candidates.7485.electWon,isCertified,isShowingRankedChoiceResults,candidates.7499.first,candidates.7499.last,candidates.7499.incumbent,candidates.7499.party,candidates.7499.candidateID,candidates.7499.ballotOrder,candidates.7499.polID,candidates.7499.polNum,candidates.7500.first,candidates.7500.last,candidates.7500.party,candidates.7500.candidateID,candidates.7500.ballotOrder,candidates.7500.polID,candidates.7500.polNum,candidates.7501.last,candidates.7501.abbrv,candidates.7501.party,candidates.7501.candidateID,candidates.7501.ballotOrder,candidates.7501.polID,candidates.7501.polNum,candidates.7502.first,candidates.7502.last,candidates.7502.party,candidates.7502.candidateID,candidates.7502.ballotOrder,candidates.7502.polID,candidates.7502.polNum,candidates.7503.first,candidates.7503.last,candidates.7503.party,candidates.7503.candidateID,candidates.7503.ballotOrder,candidates.7503.polID,candidates.7503.polNum,candidates.7499.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,1243128,99,0,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,1243128,80,0,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667950369,2022-11-08 23:32:49 +0000,88781f78b51366cb56dbc8603a43b441a541be7f,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,335000,99,0,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667970899,2022-11-08 23:14:59 -0600,ca5b649b3885623b3ef37439107a0fa8db2d1846,AK-20221108_Eday80,2,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,335000,99,0,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667974945,2022-11-09 00:22:25 -0600,681ef884856b9c75efe2b0acf64bb4a515303482,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,335000,99,85891,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667975734,2022-11-09 00:35:34 -0600,416f9cd2c686176e63aeb1ee56cb9d01151b28ae,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,306754,99,85891,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667977490,2022-11-09 01:04:50 -0600,73af89bd198396be18bf17786481f7c1aff2cd2b,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,306992,99,147356,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667978421,2022-11-09 01:20:21 -0600,fd4cba60c8af2db3bbc95876878bf1114019d874,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,294712,99,147356,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667978461,2022-11-09 01:21:01 -0600,f1eaab2ad1bc5db55713124b104cf813b6eb5754,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,306992,99,147356,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667978502,2022-11-09 01:21:42 -0600,3a9aa1fa129e28027260f73511b9ecad38e5231d,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,294712,99,147356,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667981845,2022-11-09 02:17:25 -0600,7e68193d40ccd008289f64ac07d8a8176d00c571,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,320540,99,198735,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667981884,2022-11-09 02:18:04 -0600,1d01d3e7b1a7d975fd5163dbde647aabc94b3598,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,294712,99,147356,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667981923,2022-11-09 02:18:43 -0600,72d70ddd6acecdb673c79e8b3e57763fb964c22c,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,320540,99,198735,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667987885,2022-11-09 03:58:05 -0600,e58f83f6209f6acb460b43b5d889d2b7efed466d,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,320540,99,203758,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667989601,2022-11-09 04:26:41 -0600,dc86e4cd00902bc0e04bbdd36be1e9dd1552423e,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,299644,99,203758,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667994749,2022-11-09 05:52:29 -0600,148724610ce66af596333590b2c0815505e94ceb,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,299644,99,213329,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667995710,2022-11-09 06:08:30 -0600,962f3f394af10c453d233b04b469ae64bfc0d291,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,284439,99,213329,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668035854,2022-11-09 17:17:34 -0600,67a71f79ab753d9621c8b551c12dff1582b6ed5d,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Alaska at large,True,True,District 1,1,284439,99,214333,597935,True,20221108AK2015,2022-11-08,AK,7374,Mary,Peltola,True,Dem,7374,4.0,70718,4566,0.0,Nick,Begich,GOP,7377,1.0,70724,4538,0.0,Sarah,Palin,GOP,7378,3.0,4431,4564,0.0,Total Write-Ins,TtlWrt-,Oth,7404,5.0,100008,4642,0.0,Chris,Bye,Lib,7485,2.0,70732,4541,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
