captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4357.first,candidates.4357.last,candidates.4357.incumbent,candidates.4357.party,candidates.4357.candidateID,candidates.4357.ballotOrder,candidates.4357.polID,candidates.4357.polNum,candidates.4357.electWon,candidates.6063.first,candidates.6063.last,candidates.6063.abbrv,candidates.6063.party,candidates.6063.candidateID,candidates.6063.ballotOrder,candidates.6063.polID,candidates.6063.polNum,candidates.6063.electWon,candidates.6259.first,candidates.6259.last,candidates.6259.party,candidates.6259.candidateID,candidates.6259.ballotOrder,candidates.6259.polID,candidates.6259.polNum,candidates.6259.electWon,candidates.4357.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,0,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,121,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,293,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,465,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,1816,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,4242,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,2582,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,13093,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,209677,99,22958,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209677,99,28031,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209677,99,36091,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209677,99,50346,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209677,99,48246,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209677,99,73665,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209677,99,121321,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209071,99,144237,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,209071,99,152388,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,208241,99,152388,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,208241,99,173635,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,208241,99,174355,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667969018,2022-11-08 22:43:38 -0600,465844bb53a3330849af3b4eca4fced2045c6920,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,208246,99,194450,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667969855,2022-11-08 22:57:35 -0600,8c3f41d4804fda622cab89f365a05518b70e5a91,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,208379,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667970812,2022-11-08 23:13:32 -0600,1aa0c0767ec6f65018ec090a318d7ab5fec791c2,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,202572,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667970944,2022-11-08 23:15:44 -0600,ade12abccb70834d17788a299f1a5de3ad7d230d,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,203581,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,202572,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667971169,2022-11-08 23:19:29 -0600,a70df26f7f471d11543c24ba2a2ee8ee294f6f1b,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,203581,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667971258,2022-11-08 23:20:58 -0600,66df93c53186cc5d338c8a4f0b94d8e859c4ec59,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,202572,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667971350,2022-11-08 23:22:30 -0600,4e8d6a153dbb49007925da1747ddadcd1394934d,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,203581,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667971525,2022-11-08 23:25:25 -0600,8a3d225df35b90ad7577e78c738af67af6cd9c8b,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,202572,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667971571,2022-11-08 23:26:11 -0600,d2379320e55d7c8b235939474aad516c1cf9a83b,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,203581,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667971614,2022-11-08 23:26:54 -0600,3e2db293b352d34f57f22cada11d4f92f345178d,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,200432,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1667980111,2022-11-09 01:48:31 -0600,428d6efc67001dc34b2967bd8bff4fda13dfb188,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,199201,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1668023057,2022-11-09 13:44:17 -0600,dc7f033536cbb68e6972b2130a841ab00de024a0,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,198029,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1668024695,2022-11-09 14:11:35 -0600,9e613beb082afe3c3a4cbd8252f0c9025ffae7f3,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,198035,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1668197002,2022-11-11 14:03:22 -0600,2007ec4fe4cbfe3ae21c80d3f84eee8fb5054ccc,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,197278,99,195305,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1668639314,2022-11-16 16:55:14 -0600,a78b338be58dcf4d99714f5e034a089b64d50542,AL-20221108_Eday80,1,General,G,Tabulation Paused,Called,H,U.S. House,True,District 4,4,197278,99,195293,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
1668700501,2022-11-17 09:55:01 -0600,67dc56271b046b30489cbf004583b26daa7ce30f,AL-20221108_Eday80,1,General,G,Tabulation Paused,Called,H,U.S. House,True,District 4,4,197266,99,195293,1259703,True,20221108AL1011,2022-11-08,AL,4357,Robert,Aderholt,True,GOP,4357,2,523,1200,0,Rick,Neighbors,Neighbrs,Dem,6063,1,62165,3157,0,Johnny,Cochran,Lib,6259,3,71674,4189,0,2022-11-09T02:25:19.208Z
